sale_id,product_id,customer_id,quantity,sale_date,discount,channel,region
1,6,1412,1,2025-01-02,0.2,Store,East
2,200,353,4,2024-11-26,0.13,Online,West
3,114,899,2,2025-08-10,0.06,Store,West
4,66,1608,1,2024-03-21,0.01,Store,East
5,140,1340,3,2025-07-05,0.19,Store,West
6,74,402,2,2024-06-01,0.17,Store,South
7,153,1116,5,2025-08-08,0.28,Store,South
8,191,1019,3,2025-03-20,0.1,Store,West
9,92,534,3,2025-07-09,0.2,Online,East
10,184,895,1,2024-12-10,0.15,Store,South
11,18,1874,1,2025-01-02,0.26,Store,South
12,145,1405,5,2025-04-29,0.26,Store,East
13,184,1379,2,2025-05-16,0.05,Store,West
14,139,1296,3,2025-06-16,0.08,Store,North
15,149,559,2,2024-03-28,0.13,Online,North
16,162,1624,4,2024-03-22,0.04,Online,West
17,93,1302,4,2024-06-05,0.16,Online,West
18,104,1402,5,2025-08-28,0.04,Store,South
19,99,713,4,2024-12-03,0.04,Store,West
20,196,375,3,2024-09-14,0.09,Online,East
21,34,1194,1,2025-03-21,0.09,Online,East
22,37,1192,5,2024-08-15,0.03,Store,West
23,155,660,5,2023-12-04,0.05,Online,East
24,85,1568,2,2024-08-04,0.28,Online,West
25,1,286,1,2025-04-17,0.22,Store,South
26,55,1378,3,2025-04-12,0.15,Online,South
27,154,1392,4,2024-11-06,0.12,Store,North
28,7,963,1,2025-10-27,0.09,Store,South
29,134,285,1,2025-10-31,0.18,Online,North
30,154,1044,5,2024-05-05,0.12,Store,South
31,66,588,5,2024-01-08,0.18,Store,South
32,84,964,5,2025-05-26,0.29,Online,West
33,109,681,1,2025-04-13,0.02,Online,East
34,167,1137,1,2025-07-23,0.27,Store,North
35,138,1643,5,2024-08-29,0.2,Store,North
36,127,536,2,2025-07-06,0.04,Store,East
37,180,1734,5,2024-05-18,0.15,Online,North
38,10,793,4,2025-02-05,0.22,Online,West
39,134,1449,3,2024-01-21,0.19,Store,North
40,195,1872,1,2025-06-20,0.1,Online,East
41,2,330,4,2024-11-01,0.01,Store,North
42,168,632,2,2024-09-24,0.21,Store,East
43,74,1138,4,2023-12-21,0.07,Store,West
44,84,1155,4,2025-03-31,0.2,Online,West
45,43,1556,2,2024-06-30,0.14,Store,South
46,38,812,5,2024-08-10,0.19,Store,West
47,61,1168,5,2025-09-08,0.12,Online,North
48,73,557,5,2025-09-27,0.24,Online,North
